Timestamps,Comments,VADER Compound,AFINN Score,TextBlob Polarity
2023-11-02T17:07:03Z,And how many of todays wokie dokie lovies love to buy from this company,0.6369,3,0.5
2023-11-02T16:47:10Z,"I feel a bit better that I never actually use Amazon. Perhaps once a year for a small thing that's out of stock everywhere else, but seeing how much most people use it I'm not surprised they don't care about employees. They're just too powerful.",-0.0129,6,0.166666667
2023-11-02T16:38:24Z,alot of time amazon will refund u as soon as the barcode is scanned by the postman / post office / courier.,0.1779,0,0
2023-11-02T16:15:54Z,"I gotta admit my small amount of time at Amazon a couple of years wasn't bad at all, i mean the job itself sucked a*se but the supervisors treat me with respect and when we moved warehouse they spent over 2 grand on pizzas for us all, i think this was after they got caught timing people going to the toilet etc though so they had to relax a little bit, then again none of them looked like they'd have the balls to speak to me like crap, im not a small lad and have never took any crap from any manager. They can see the vulnerable people a mile off.",0.939,-3,-0.278030303
2023-11-02T15:40:05Z,"I have never and will never buy anything from this company.
They are despicable to deal with simply to deliver too.
Horrible horrible ethos and attitude.",-0.5423,-6,-0.5
2023-11-02T15:32:16Z,They should have called the pee drink ‘RELIEVE’ 😃,0.3612,1,0
2023-11-02T15:30:44Z,"Worked in a Warehouse for 1 1/2 years. Luckily bit more relaxed than this, but it is tough, gotta show respect to people who do it for a living. I'm fortunate enough to work from home now",0.8921,9,0.168888889
2023-11-02T15:13:06Z,"To be fair, the reason the place is surrounded by security and gates is because a amazon warehouse will be jampacked of goods that belong to the general populace. You can't just have the place wide open. It's not because they want to emulate a prison.",0.2211,1,0.1625
2023-11-02T14:53:28Z,"This was sick dude, keep up the good work",-0.1027,1,-0.007142857
2023-11-02T14:51:26Z,"Documentary with an internet trickster going undercover? Who's stupid idea was this surely they could do a serious programme with how bad Amazon is. It makes this look setup and fake, like the crap acting when he's talking to that lawyer.",-0.8034,-9,-0.329166667
2023-11-02T14:49:19Z,"Modern day slavery shouldn't be allowed, full stop.",-0.7906,-4,0.275
2023-11-02T14:31:58Z,Unfortunately until people dont want products on the door step with in 24 hours for a cheap price it wont change,-0.3863,1,-0.05
2023-11-02T14:19:58Z,"Trying to be funny, got bored 5 mins in",0.2023,2,-0.125
2023-11-02T14:19:21Z,A delivery every 3 minutes is insane. No wonder they practically throw it at you and don't knock anymore.,-0.5994,-3,-1
2023-11-02T14:10:35Z,"So my experience working at amazon is a little weird because I managed to avoid most of the worst things. I worked for them for about 3 months at the end of 2020 as a sortation associate through an agency and ended up doing the PM shifts. 2/3 of my supervisors were decent and the work was usually 2-3 hours of sameday then miscellaneous other warehouse things, a bit of yard marshall work and the sameday returns while the rest of us opened up teh warehouse floor for night shift. Around christmas I actually got to see what the ""normal"" shifts were like, night shift started earlier (about 6pm) up until christmas and we spent most of the last 2-3 hours of our shift just filling in and carrying on with the returns and just moving bags around. Ironically I actually didn't mind the work side of things, my biggest problem was the temp agency being completely incompetent.",-0.8709,-8,-0.079722222
2023-11-02T14:01:16Z,It’s not just Amazon most big corps are the same DHL is just like this,0.2458,3,0.166666667
2023-11-02T13:31:42Z,"Pissing in bottles is an industry wide problem, not excusing it, just a fact.",-0.6597,-5,-0.1
2023-11-02T12:43:30Z,"I haven't made a purchase from Amazon in over years. We haven't lost any money, and support better businesses. Just don't buy, it's very simple.",0.8054,1,0.25
2023-11-02T12:21:42Z,Wait -- What? Oobah Butler's been working for Channel 4 making documentaries? When the hell did this start happening? WHY AM I ONLY FINDING OUT ABOUT THIS NOW?,-0.6808,-4,0
2023-11-02T11:49:30Z,Just boycott them.  They have the public in their hands and they give nothing back for everything they take.,-0.3182,-2,0
2023-11-02T11:22:53Z,"Mission Impossible
Amazon part 1",0,0,0
2023-11-02T11:06:38Z,"I worked for Amazon for 6 months in a fulfilment center Mansfield. 
I have arthritis in my left knee but they still expected me to climb stairs, kneel to pick or pack items.
I had 2 disciplinary meetings because I wasn't fast enough. Eventually they didn't renew my contract. 
Terrible place to work.
At the end of each shift I was literally crawling to my car in agony yet they never attempted to move me onto a job I was capable of doing given my mobility issues. 
Worst job I'd ever had.
Nightmare.",-0.8945,-5,-0.225
2023-11-02T11:06:11Z,This guy and his mates are the modern day Peckham boys,0,0,0.2
2023-11-02T10:27:41Z,“a SWORD!”,0,0,0
2023-11-02T10:25:44Z,"Now let's head to China and India and work in the industry supplying parts to Tesla, Apple, Samsung etc. If you think Amazon employees have it bad, head there and let's see what you find.

This is first world problems.",-0.6705,-5,-0.225
2023-11-02T10:11:31Z,I worked for them in Bedfordshire and they treated me like shit. Was only there for three months. Never again,-0.2732,-2,-0.1
2023-11-02T09:33:23Z,"30:55 the driver is not supposed to deliver an age verified parcel (alcohol, nicotine, sharp objects) without confirming the age of the recipient.",0,0,-0.125
2023-11-02T08:53:50Z,This is NOT the same as working in the UK.,0,0,0
2023-11-02T08:45:03Z,"If the general public do not use this company , then how can it flourish. .? The human race is fickle and if the price is low enough then they will buy..a no win situation.",0.128,3,-0.058333333
2023-11-02T07:44:14Z,"I live in Swansea Amazon has a huge warehouse there, bottle of piss everywhere. No one in Swansea and surrounding areas want to work for Amazon. Amazon are now building a new warehouse in Bristol to use and abuse the people there. I think they will close Swansea soon, they just can't get any one to work there.",-0.5267,-6,0.224242424
2023-11-02T07:00:24Z,What u want to chase after next is how amazon keep taking money monthly after you closed down your account.they keep doing it to loads encluding myself,0.25,1,-0.085185185
2023-11-02T06:54:08Z,I did security at amazon trust me even if the guards sit down they get sacked.i was on agency at the time after 1 day I could not go back to a place were no 1 is trusted and treated like naughty kids.when they was finishing shift they had to be checked 3 times before they left the building,0.8689,4,-0.076388889
2023-11-02T06:18:42Z,Its like this in every warehouse in england. WE ARE ROBOTS,0.3612,2,0
2023-11-02T04:41:10Z,"To be fair, Amazon does have to watch its employees as there is a lot of theft. I ordered a mobile phone from Amazon and a sealed Amazon box was delivered that contained only a couple of little pots of metal polish. Obviously an Amazon worker did a switcheroo at an Amazon facility and stole the phone.",0.7783,0,0.128125
2023-11-02T03:30:28Z,"Listen, if it was that bad amazon wouldn't be still running now. So stop with your lies and fakery. It's a good place to work and it need to run and is successful in its way because its ran like clock work and those that ""lasted a day"" have never known a hard day of work in your life...your working for a multi billion dollar company. It didn't get this way from been soft.",0.257,3,0.111666667
2023-11-02T01:35:11Z,This company is not worth it. Anyone who works for Amazon GET OUT NOW!! Not worth your time or energy.  GET OUT NOW!!!,0.12,4,-0.15
2023-11-02T01:25:22Z,Do not buy Amazon!!!!,-0.1326,0,0
2023-11-02T01:24:13Z,The worlds biggest shit. Amazon!!,-0.4404,-4,-0.2
2023-11-02T00:23:40Z,"What's frustrating is that they were allowed to grow so big so fast, that now the government is scared to criticise them and we as customers don't have many alternatives that are anywhere near as good. Probably the only company that could seriously take them on would be someone like Google, and they don't seem to be bothered with physical goods.",-0.743,-2,0.085185185
2023-11-02T00:21:10Z,"That lawyer just makes me angry, as the prodigy said ""fuck em and their law""!",-0.7783,-7,-0.45
2023-11-02T00:01:01Z,"You can find the piss bottles everywhere, and some actually piss in plastic cups and place it on the pavement as it would be a glass of beer.",-0.6597,-8,0
2023-11-01T23:37:09Z,Was this documentary funded by Temu?,0,0,0
2023-11-01T22:34:42Z,GOAT,0,0,0
2023-11-01T22:16:49Z,The more you feed the beast the sooner it will eat everything we hold dear.,0.3818,2,0.5
2023-11-01T21:56:08Z,"Thanks to everyone involved, I'm boycotting from now on",0.0516,0,0.2
2023-11-01T21:49:10Z,"The dude looks like such a creep, like a cross between Children of the Corn and Jimmy Saville.",0.6124,4,0
2023-11-01T21:48:14Z,The security checks are like a scene from Brave New World.,0.8074,4,0.468181818
2023-11-01T21:48:12Z,This is the best video this year,0.6369,3,1
2023-11-01T21:45:09Z,"Freaking brilliant mate! You have pulled off  countless of extraordinarily stunning and no less entertaining projects during your rise to fame in the past, but this(!), however, is a true piece of artistic and entrepreneurial genius! Not to mention what an immense service you have done to the public! I am truly humbled by your resourcefulness and brilliance. I sit here in absolute awe of your fearless drive to do the right thing! It is once in a blue moon that anyone gets a positive comment from me in these spaces, but You, sir... Hats off to you! Astonishingly inspiring work you delivered, and all I can add to this is that I wish there were more courageous people with your mindset and passion for doing the right thing on this planet. Maybe we would actually have nice things then... who knows... utterly impressed! Thank you for this! I will patiently await your next masterpiece! Pure brilliance!",0.997,42,0.283166076
2023-11-01T21:43:19Z,this man has NO melanin,-0.296,-1,0
2023-11-01T21:41:30Z,now follow up on how you can buy products that are secretly radioactive,0,0,-0.4
2023-11-01T21:39:50Z,The lawyer slowly grew to love him haha,0.802,6,0.133333333
2023-11-01T21:32:09Z,"I thought working for Royal Mail was bad enough, but this is on another level!!!",-0.3071,-3,-0.35
2023-11-01T21:26:22Z,What a flipping video lmfao im dying at the end,0.5829,1,0
2023-11-01T21:24:02Z,"how can you just get a job as 'paul'. you would need a passport or ID, a NI number etcetc, this just seems like BS",0.4215,2,0
2023-11-01T20:54:41Z,That Barrister seems a really nice guy. When he said “you are selling a product unfit for public consumption” with a straight face I creased up. I bet he or the channel lawyers advised C4 before on what they had to do even before they even made this though: good planning by C4.,0.7841,5,0.375
2023-11-01T20:36:57Z,i work at amazon and finding piss in bottle is daily in the warehouse and when we tell our mangers they say will sort it out.,-0.25,-4,0
2023-11-01T20:14:41Z,Well you wouldn’t want to be out on road delivering multi drop for Amazon trust me it’s brutal they overload you make you fill the front cabin up when the parcels are not even aloud there unless you got fee ready for your next few stops.. an they take so much of your wages you never get paid for your correct hours always money missing ..,-0.3658,-6,-0.145833333
2023-11-01T19:45:59Z,you didnt go undercover bro you went to work,0,0,0
2023-11-01T19:22:26Z,I boycott Amazon now. They are not even cheaper anymore really. This behaviour by them has been exposed before though. A guy went under cover in several exploitative workplaces and exposed them in a book “Hired: Six Months in Low Wage Britain” by James Bloodbath. It’s required reading for anyone with a social conscience.,-0.5106,-4,-0.013333333
2023-11-01T19:17:52Z,I gave Amazon working a try just for a change from my usual working sector....... I worked in the warehouse and what they do is suck you in by being really nice & helpful for the first 8 weeks..... After that it dramatically changes for the worst..... They treat you like a child and for a multi billion pound company the cages and the scanners are falling apart and bodged with sticky tape.... horrendous place to work...,0.5819,-3,-0.1
2023-11-01T19:13:04Z,My Alexa went off when the kid ordered and started ordering 😂😂,0,0,0
2023-11-01T19:05:51Z,"I did a trial day as a delivery driver.  After an induction with a drug test (UK, very unusual).  Was out for 13 hours.  I did not accept the generous job offer.",-0.5975,3,0.26
2023-11-01T19:02:58Z,"Love the way they dubbed his lawyer saying “you’re liable” to “you may be liable” 😂😂😂
Fuck Amazon",0.34,-1,-0.025
2023-11-01T18:55:37Z,"Very well made documentary! Kudos to you and the teams involved. Now, let me get back to my Amazon shopping habbits! :D",0.7501,3,0.066666667
2023-11-01T18:30:22Z,Never heard of you untill I watched this but I gotta hand it to you..... Well fucking done!!! Smart and hilarious and quite alarming at the same time. Thanks,0.9526,1,0.035714286
2023-11-01T18:19:45Z,"I don't buy from Amazon any more. Sure many companies we have to deal with have shady goings-on in their business practices/supply chains,, but Amazon in particular seems to be a real hotbed of worker abuse and monopolistic tyranny. Feck em.

Re: getting spotted - wouldn't put it past Amazon to be using some sort of facial recogntion, what with all those cameras kicking about.",-0.8324,-3,0.170833333
2023-11-01T18:15:05Z,"And this kids, is why you need a public funded television.",0,0,0
2023-11-01T18:07:14Z,Penny & Eye defo the star's of the show!,0,0,0
2023-11-01T18:02:10Z,"I am in IT and 2 years ago I was contacted by Amazon and asked to interview for a job. I declined and sent them the link where it was reported that drivers piss in the bottles. Last message from them was how they improved this but this video clearly shows it's not the case.
I also limit my purchases on Amazon to minimum and use other retailers.",0.7311,-1,-0.008333333
2023-11-01T17:45:37Z,Fake and gay.,-0.4767,-3,-0.041666667
2023-11-01T17:25:40Z,"everything you say is correct i had the misfortune of working at one of piss hole slave warehouses the things i saw from one manger being accused of tape to a supervisor who died in the warehouse and not being discovered for over 5 hours, the atmosphere was very tense with fights breaking out with slave driving supervisors.",-0.921,-19,-0.433333333
2023-11-01T16:43:29Z,This is Guy Ritchie's next movie.,0,0,0
2023-11-01T16:25:57Z,"If you don't like Amazon, don't support them... your money is your vote at the end of the day.",-0.5975,0,0
2023-11-01T16:22:12Z,man's a fucking genius!! Bravo,0,-4,-0.6
2023-11-01T16:02:11Z,your fake name wouldn't have matched your NI number lol,0,0,0.15
2023-11-01T15:34:45Z,Can we start a #hashtag like #avoidamazon #donotshopatamazon #shoplocalnotamazon?,0.3612,2,0
2023-11-01T15:29:46Z,Flippen Brilliant!!!! Thank you so much for making this!!! #shoplocal,0.743,6,0.55
2023-11-01T15:01:52Z,"The statement by Amazon on tax is misleading. 1. The £2.8bn of indirect tax is basically VAT. They don't pay that, you the customer buying the product with 20% VAT pay it. Amazon just collect it and pass it to HMRC. Every other VAT registered business does the same thing and you wouldn't claim they were paying the tax. 2. The direct taxes is vague because it could include payroll taxes they pay like employers NIC which is what every business pays for its employees. It does not state what the corporation tax is.",0.3995,-6,-0.13125
2023-11-01T14:40:02Z,Great work! Entertaining and informative whilst highlighting issues that workers should not have to put up with.,0.7906,5,0.65
2023-11-01T14:27:38Z,Feet hurting . Young people are wimps,-0.5719,-2,0.1
2023-11-01T14:23:42Z,How can you be late on your first day,0,0,-0.025
2023-11-01T14:22:00Z,Lawyer is a massive tory,0,0,0
2023-11-01T14:15:02Z,Well played C4 and Oobah 👏,0.5423,0,0
2023-11-01T14:05:43Z,Funny watching this as I’m working at Amazon warehouse,0.5574,4,0.25
2023-11-01T13:45:24Z,"I've been boycotting Amazon for years. It's scary how it gets harder the more the world relies on them; I've only given in a handful of times because I LITERALLY COULD NOT GET THE THING ANYWHERE ELSE, since Amazon is slowly killing off competing businesses. The more people that boycott, the easier it will get!",-0.8255,-9,0.016666667
