Comments,Sentiment
And how many of todays wokie dokie lovies love to buy from this company,Positive
"I feel a bit better that I never actually use Amazon. Perhaps once a year for a small thing that's out of stock everywhere else, but seeing how much most people use it I'm not surprised they don't care about employees. They're just too powerful.",Positive
alot of time amazon will refund u as soon as the barcode is scanned by the postman / post office / courier.,Neutral
"I gotta admit my small amount of time at Amazon a couple of years wasn't bad at all, i mean the job itself sucked a*se but the supervisors treat me with respect and when we moved warehouse they spent over 2 grand on pizzas for us all, i think this was after they got caught timing people going to the toilet etc though so they had to relax a little bit, then again none of them looked like they'd have the balls to speak to me like crap, im not a small lad and have never took any crap from any manager. They can see the vulnerable people a mile off.",Negative
"I have never and will never buy anything from this company.
They are despicable to deal with simply to deliver too.
Horrible horrible ethos and attitude.",Negative
They should have called the pee drink ‘RELIEVE’ 😃,Positive
"Worked in a Warehouse for 1 1/2 years. Luckily bit more relaxed than this, but it is tough, gotta show respect to people who do it for a living. I'm fortunate enough to work from home now",Positive
"To be fair, the reason the place is surrounded by security and gates is because a amazon warehouse will be jampacked of goods that belong to the general populace. You can't just have the place wide open. It's not because they want to emulate a prison.",Positive
"This was sick dude, keep up the good work",Negative
"Documentary with an internet trickster going undercover? Who's stupid idea was this surely they could do a serious programme with how bad Amazon is. It makes this look setup and fake, like the crap acting when he's talking to that lawyer.",Negative
"Modern day slavery shouldn't be allowed, full stop.",Negative
Unfortunately until people dont want products on the door step with in 24 hours for a cheap price it wont change,Negative
"Trying to be funny, got bored 5 mins in",Positive
A delivery every 3 minutes is insane. No wonder they practically throw it at you and don't knock anymore.,Negative
"So my experience working at amazon is a little weird because I managed to avoid most of the worst things. I worked for them for about 3 months at the end of 2020 as a sortation associate through an agency and ended up doing the PM shifts. 2/3 of my supervisors were decent and the work was usually 2-3 hours of sameday then miscellaneous other warehouse things, a bit of yard marshall work and the sameday returns while the rest of us opened up teh warehouse floor for night shift. Around christmas I actually got to see what the ""normal"" shifts were like, night shift started earlier (about 6pm) up until christmas and we spent most of the last 2-3 hours of our shift just filling in and carrying on with the returns and just moving bags around. Ironically I actually didn't mind the work side of things, my biggest problem was the temp agency being completely incompetent.",Negative
It’s not just Amazon most big corps are the same DHL is just like this,Positive
"Pissing in bottles is an industry wide problem, not excusing it, just a fact.",Negative
"I haven't made a purchase from Amazon in over years. We haven't lost any money, and support better businesses. Just don't buy, it's very simple.",Positive
Wait -- What? Oobah Butler's been working for Channel 4 making documentaries? When the hell did this start happening? WHY AM I ONLY FINDING OUT ABOUT THIS NOW?,Negative
Just boycott them.  They have the public in their hands and they give nothing back for everything they take.,Negative
"Mission Impossible
Amazon part 1",Neutral
"I worked for Amazon for 6 months in a fulfilment center Mansfield. 
I have arthritis in my left knee but they still expected me to climb stairs, kneel to pick or pack items.
I had 2 disciplinary meetings because I wasn't fast enough. Eventually they didn't renew my contract. 
Terrible place to work.
At the end of each shift I was literally crawling to my car in agony yet they never attempted to move me onto a job I was capable of doing given my mobility issues. 
Worst job I'd ever had.
Nightmare.",Negative
This guy and his mates are the modern day Peckham boys,Neutral
“a SWORD!”,Neutral
"Now let's head to China and India and work in the industry supplying parts to Tesla, Apple, Samsung etc. If you think Amazon employees have it bad, head there and let's see what you find.

This is first world problems.",Negative
I worked for them in Bedfordshire and they treated me like shit. Was only there for three months. Never again,Negative
"30:55 the driver is not supposed to deliver an age verified parcel (alcohol, nicotine, sharp objects) without confirming the age of the recipient.",Neutral
This is NOT the same as working in the UK.,Neutral
"If the general public do not use this company , then how can it flourish. .? The human race is fickle and if the price is low enough then they will buy..a no win situation.",Positive
"I live in Swansea Amazon has a huge warehouse there, bottle of piss everywhere. No one in Swansea and surrounding areas want to work for Amazon. Amazon are now building a new warehouse in Bristol to use and abuse the people there. I think they will close Swansea soon, they just can't get any one to work there.",Negative
What u want to chase after next is how amazon keep taking money monthly after you closed down your account.they keep doing it to loads encluding myself,Positive
I did security at amazon trust me even if the guards sit down they get sacked.i was on agency at the time after 1 day I could not go back to a place were no 1 is trusted and treated like naughty kids.when they was finishing shift they had to be checked 3 times before they left the building,Positive
Its like this in every warehouse in england. WE ARE ROBOTS,Positive
"To be fair, Amazon does have to watch its employees as there is a lot of theft. I ordered a mobile phone from Amazon and a sealed Amazon box was delivered that contained only a couple of little pots of metal polish. Obviously an Amazon worker did a switcheroo at an Amazon facility and stole the phone.",Positive
"Listen, if it was that bad amazon wouldn't be still running now. So stop with your lies and fakery. It's a good place to work and it need to run and is successful in its way because its ran like clock work and those that ""lasted a day"" have never known a hard day of work in your life...your working for a multi billion dollar company. It didn't get this way from been soft.",Positive
This company is not worth it. Anyone who works for Amazon GET OUT NOW!! Not worth your time or energy.  GET OUT NOW!!!,Positive
Do not buy Amazon!!!!,Neutral
The worlds biggest shit. Amazon!!,Negative
"What's frustrating is that they were allowed to grow so big so fast, that now the government is scared to criticise them and we as customers don't have many alternatives that are anywhere near as good. Probably the only company that could seriously take them on would be someone like Google, and they don't seem to be bothered with physical goods.",Negative
"That lawyer just makes me angry, as the prodigy said ""fuck em and their law""!",Negative
"You can find the piss bottles everywhere, and some actually piss in plastic cups and place it on the pavement as it would be a glass of beer.",Negative
Was this documentary funded by Temu?,Neutral
GOAT,Neutral
The more you feed the beast the sooner it will eat everything we hold dear.,Positive
"Thanks to everyone involved, I'm boycotting from now on",Positive
"The dude looks like such a creep, like a cross between Children of the Corn and Jimmy Saville.",Positive
The security checks are like a scene from Brave New World.,Positive
This is the best video this year,Positive
"Freaking brilliant mate! You have pulled off  countless of extraordinarily stunning and no less entertaining projects during your rise to fame in the past, but this(!), however, is a true piece of artistic and entrepreneurial genius! Not to mention what an immense service you have done to the public! I am truly humbled by your resourcefulness and brilliance. I sit here in absolute awe of your fearless drive to do the right thing! It is once in a blue moon that anyone gets a positive comment from me in these spaces, but You, sir... Hats off to you! Astonishingly inspiring work you delivered, and all I can add to this is that I wish there were more courageous people with your mindset and passion for doing the right thing on this planet. Maybe we would actually have nice things then... who knows... utterly impressed! Thank you for this! I will patiently await your next masterpiece! Pure brilliance!",Positive
this man has NO melanin,Negative
now follow up on how you can buy products that are secretly radioactive,Neutral
The lawyer slowly grew to love him haha,Positive
"I thought working for Royal Mail was bad enough, but this is on another level!!!",Negative
What a flipping video lmfao im dying at the end,Positive
"how can you just get a job as 'paul'. you would need a passport or ID, a NI number etcetc, this just seems like BS",Positive
That Barrister seems a really nice guy. When he said “you are selling a product unfit for public consumption” with a straight face I creased up. I bet he or the channel lawyers advised C4 before on what they had to do even before they even made this though: good planning by C4.,Positive
i work at amazon and finding piss in bottle is daily in the warehouse and when we tell our mangers they say will sort it out.,Negative
Well you wouldn’t want to be out on road delivering multi drop for Amazon trust me it’s brutal they overload you make you fill the front cabin up when the parcels are not even aloud there unless you got fee ready for your next few stops.. an they take so much of your wages you never get paid for your correct hours always money missing ..,Negative
you didnt go undercover bro you went to work,Neutral
I boycott Amazon now. They are not even cheaper anymore really. This behaviour by them has been exposed before though. A guy went under cover in several exploitative workplaces and exposed them in a book “Hired: Six Months in Low Wage Britain” by James Bloodbath. It’s required reading for anyone with a social conscience.,Negative
I gave Amazon working a try just for a change from my usual working sector....... I worked in the warehouse and what they do is suck you in by being really nice & helpful for the first 8 weeks..... After that it dramatically changes for the worst..... They treat you like a child and for a multi billion pound company the cages and the scanners are falling apart and bodged with sticky tape.... horrendous place to work...,Negative
My Alexa went off when the kid ordered and started ordering 😂😂,Neutral
"I did a trial day as a delivery driver.  After an induction with a drug test (UK, very unusual).  Was out for 13 hours.  I did not accept the generous job offer.",Positive
"Love the way they dubbed his lawyer saying “you’re liable” to “you may be liable” 😂😂😂
Fuck Amazon",Negative
"Very well made documentary! Kudos to you and the teams involved. Now, let me get back to my Amazon shopping habbits! :D",Positive
Never heard of you untill I watched this but I gotta hand it to you..... Well fucking done!!! Smart and hilarious and quite alarming at the same time. Thanks,Positive
"I don't buy from Amazon any more. Sure many companies we have to deal with have shady goings-on in their business practices/supply chains,, but Amazon in particular seems to be a real hotbed of worker abuse and monopolistic tyranny. Feck em.

Re: getting spotted - wouldn't put it past Amazon to be using some sort of facial recogntion, what with all those cameras kicking about.",Negative
"And this kids, is why you need a public funded television.",Neutral
Penny & Eye defo the star's of the show!,Neutral
"I am in IT and 2 years ago I was contacted by Amazon and asked to interview for a job. I declined and sent them the link where it was reported that drivers piss in the bottles. Last message from them was how they improved this but this video clearly shows it's not the case.
I also limit my purchases on Amazon to minimum and use other retailers.",Negative
Fake and gay.,Negative
"everything you say is correct i had the misfortune of working at one of piss hole slave warehouses the things i saw from one manger being accused of tape to a supervisor who died in the warehouse and not being discovered for over 5 hours, the atmosphere was very tense with fights breaking out with slave driving supervisors.",Negative
This is Guy Ritchie's next movie.,Neutral
"If you don't like Amazon, don't support them... your money is your vote at the end of the day.",Neutral
man's a fucking genius!! Bravo,Negative
your fake name wouldn't have matched your NI number lol,Neutral
Can we start a #hashtag like #avoidamazon #donotshopatamazon #shoplocalnotamazon?,Positive
Flippen Brilliant!!!! Thank you so much for making this!!! #shoplocal,Positive
"The statement by Amazon on tax is misleading. 1. The £2.8bn of indirect tax is basically VAT. They don't pay that, you the customer buying the product with 20% VAT pay it. Amazon just collect it and pass it to HMRC. Every other VAT registered business does the same thing and you wouldn't claim they were paying the tax. 2. The direct taxes is vague because it could include payroll taxes they pay like employers NIC which is what every business pays for its employees. It does not state what the corporation tax is.",Negative
Great work! Entertaining and informative whilst highlighting issues that workers should not have to put up with.,Positive
Feet hurting . Young people are wimps,Negative
How can you be late on your first day,Neutral
Lawyer is a massive tory,Neutral
Well played C4 and Oobah 👏,Neutral
Funny watching this as I’m working at Amazon warehouse,Positive
"I've been boycotting Amazon for years. It's scary how it gets harder the more the world relies on them; I've only given in a handful of times because I LITERALLY COULD NOT GET THE THING ANYWHERE ELSE, since Amazon is slowly killing off competing businesses. The more people that boycott, the easier it will get!",Negative
He could of just said his real name was a nickname cause he always gives his mates lifts,Neutral
"I stopped shopping with Amazon about 2 yrs ago. I asked for them to close my account and delete my data, they still haven't done it despite sending me an email to say they would. I don't miss shopping Amazon, much prefer to give my money locally. If more or all of us did it, there would be no Amazon culture.",Positive
good effort,Positive
Holy cow it's Georgio Peviani,Neutral
"I don't care what your situation, I blame the workers and I will tell you why.....they do it!! they put up with it. The only way this will end is if people don't work for them! Simple! Walk out. There will be no Amazon without workers. Unions don't work, but workers getting up and walking out DOES! This is what happens across the board with everything in life, including Covid recently. They only get away with stuff if we, the people, let them. WE HAVE THE POWER, but people are too attached to their material goods to look at the long term picture. If we were brave ...two weeks of walking out in any scenario would sort this out.",Positive
no smoking gun here tbh. There is no obligatory to work in Amazon in first place 🤣 My partner did work for few years there in Amazon UK and no issues but he did work not like others who expect special treatment everywhere they go,Negative
"DO DPD... please.

They lost my parcel £200",Negative
"Wow a few years back I nearly applied for a job with Amazon. A quick Google later, I found that it's a horrendous place to work. From the start your treated like a prisoner. Shifts are long and fast paced for 10hrs straight. No unplanned breaks (toilet). Your break starts at the workstation then the a 5-10min walk to break room is part of the break. If you have 30min u have more like 10-20. People skip breaks to make up time on work loads for fear of being fired. Same on the way back. They watch you continuosly and have warnings popping up saying your going to slow. Then there's the simple fact that no matter what you do, if you under perform a few times your out the door and in comes the next victim. I wonder why these places are largely staffed with foreign work force? Because they don't know any better conditions. From Coventry union ""failing"" (sabataged by Amazon) to America's ""we are not robots"" walkouts, the company can not be stopped. It's appalling here in the UK the government doesn't intervene to correct this workplace.",Negative
Also in addition .. Just because your'e horrendous operation is on British Turf Does Not Make it Your land to exploit workers on a SLAVE labour Operation it is however a Rented Piece of Land by Our Kingdom . You Slavers ... Your Slaves  ( Workers) Can't even take a PISS !!!,Negative
"I'm only 18 mins in & it is just Hideous.... People have a Right to Work but What about Workers Rights ?? not in these draconian conditions. A serious Piss Factory Employer. It's worse than victorian Britain Work houses the mines & kids up chimneys. Where does this story end ?.  Road Tax 4 Roads & companies who trade slavery with offshore accounts swerving millions should be held to account & Not just Amazon, Ooblah B. Hood get a Bow & Arrows lol",Negative
"I guarantee that everyone in the comments screeching that Amazon are basically worse than the NatSocs of 30's Germany, will continue to enjoy the cost and convenience and will be boycotting no one. LOL",Positive
In a nutshell don't work for Amazon with their slave conditions policy. this company is a disgrace treating its workforce with zero respect. its founder is obviously a clown 🤡,Negative
Love this guy,Positive
"I agree with some of the work done here, but what he has overlooked is that Amazon is a marketplace for sellers and Amazon themselves only sell a very small percentage of their own products on the site. By ordering and returning a 'faulty' product, it would have been at the expense of a real business selling via Amazon. The seller would be unable to relist buckets of sand (Amazon still take their fees for selling on the marketplace). Ergo, he has ripped off a small business owner and the liability to Amazon is negative (as they still take their fees). They are always 10 steps ahead.",Negative
Oobah is such a legend....how on earth do you get away with it time and time again?!?! 🤣,Neutral
"It's ok Amazon saying that drivers get a reminder to take breaks but when delivery volume is so high a small break of 10 minutes would have someone calling you saying you are behind, it's a joke. Pre-pandemic you would have days were you would have lower volumes than others whereas now every day is now as busy as Xmas day",Positive
"I’ve worked for amazon multiple times over a 14 year period- when they first opened in Swansea wales it was packed and busy like you wouldn’t believe- and very strict on things like toilet break lengths, taking your belt shoes gloves off and wanded and had to walk through security gates- could never get to the canteen in time for breaks and lunch and you literally were treated as disposable assets- they knew they’d fill that vacancy no problem at all, agencies who I worked for were always later or under on the pay and a load came and went - then the last time I worked there I was in ICQA department and you could walk around the pick tower and the lights would be all off as nobody had walked in that area for ages - the trollies were smaller and the numbers were down to teams of 25 ish - the high value cage had long gone years before and the ground floor which used to have row upon row of clothes and shoes shelves and millions of pairs that was massively reduced to a few shelves - the high storage area which you had to speak to someone to get into because of the forklifts etc now we’re just open and nobody checking you like they used to, security was practically non existent- funnily enough a load of security were fired for smuggling out 50” TVs and passing them out of a gap on the big doors- and the trainer in ICQA was a long term employee and around 67 years old and he reeked of booze and had an alcoholic nose - and on my rounds I’d find empty booze bottles fully drunk and chocolates eaten etc 😂 last stint there was couple years ago and for the whole of January we ended up spending 75% of our time making boxes for the high storage area - then released with the white letter of bugger off - targets there were hard and you felt so depressed after a few weeks - I’d just count it down each day by doing it mentally in two hour intervals- 2 hrs then break then 2hrs then lunch and fag etc - I remember the lifts for the trollies but when I was last there it had been out of use for ages and just used the bigger proper lifts- walking about hardly seeing anyone on a shift is so weird having known it from its busy start all those years ago - but met some good mates from it and it’s pay when you actually got it was a good bit more than many places I’ve worked - and the last two weeks were good pay for a single guy back years ago - was hard work there for damn sure but I’ve had it worse in other jobs I’ve done so it’s hard to know exactly how I think of Amazon - 50/50 good and bad experience",Negative
31:49…. The majority of stabbing are from kitchen knives taken from their mums kitchen,Neutral
Every delivery driver has to piss in a bottle nothing new.,Negative
Why is that song by police going through my head😅,Neutral
I worked for trespass for a day. It was the exact same. Their factory has a sweat shop too. Toilets were most disgusting thing ive ever seen,Negative
"10:21 oh please I’ve spent my entire work career on my feet as a metal fabricator lugging around metal 100times heavier than the small boxes they deal with..
Soft lazy Bame inbreds",Negative
7:10 When your hire lots of Bame people you know you need at least 3 searches on the way out 😂,Neutral
Really should have called the drink Prime Piss,Negative
Hiring hundreds of new workers just to outnumber a union being formed is fucking diabolical.,Negative
In the 80s and 90s we called this hard work.  Good to see strong security standards. As an empoyer I took alot of positives form this video and will be implementing them. Thank you for the insight.,Positive
So much piss,Negative
"I live in Central London, and these urine 
 bottles are everywhere nowadays.. Perhaps amazon can make a pee-recycle unit. ... ?",Positive
Should be on channel 4,Neutral
Come to the uk one,Neutral
the piss bottles were a real focus but its not just down to the pressure of time but the fact trying to take a piss anywhere in public is illegal and most places that have a toilet scold you for not buying first. So pissing in a bottle is easier than having to hunt down a place or argue with staff.,Negative
How did he get the job with a fake name,Negative
"Very well thought out but doesn't uploading the entire thing and admitting on camera/having  the name of the company you're ""not linked too"" in Belize basically revert all that hard work an put you back in hot water :S",Positive
"Oobah's a bloody legendary dare devil for taking Amazon on like this, but damn he did a bloody good job at playing them at their own game & highlighting major operational flaws!!!",Negative
Age verification? For everything that can be considered  a 'dangerous' item? The most ridiculous idea ever. Parents should be the accountable ones if kids buy dangerous items and are harmed.Not the company!,Negative
Your niece have now added 1 knife to my basket as the Alexa is near the TV! Now got to go account and delete them! 😂 Good job I did as she said buy it now seconds after!,Positive
"Fufillment centres are the nice ones, you should have gone for a distribution centre where they load the vans for the drivers",Positive
"This documentary is epitome to complaint about shit being smelly and of no fun colors. It goes something like this ""it's shit and it smells"". 
Thank you for you amazing undercover work. 👌",Negative
Amazon employees are forced to wear the worst designed steel/carbon capped  safety boots. Employee's feet are in pain within one hour. No compromise allowed.,Negative
The airport radiation scanners used by Amazon weren't shown in this video....used by employees at least 5 times a day....x-ray cancer over-exposure.,Negative
"People are humans FFS and we only have the government to blame for this.

They can easily add to Health and safety regulations. Toilet breaks, sitting 5 every 45 minutes work, the maximum temperature to work in as there's only a low temperature.

Shouldn't have to be added to legislation as its common sense but clearly cooperations are tacking the piss as much as toilet breaks FFS",Negative
"Just a small thing but man, the use of the video game style ""depictions"" of him were great lmao 
Liking the format so far",Positive
"World's largest profit seeking corporation claims they don't exploit workers. 

With the union vote, even if they deny it, it's obvious they're union busting. 

Politicians clearly do not care about regular people else this kind of issue would not exist. 

The riches ""system"" is not in our favour. It never has been, we need to resist. 

Join a union folks. Fight back. Fight for your worth not someone else's.",Positive
That piss drink almost sounds a bit like something Nestle would do today,Negative
"Pi___ of sh...'no place breeding ground of terror_ist s_cams job agency cov_id cameras . Documentaries more l_ educate thx...
(Al)",Negative
Amazon need to be closed down...forever!!,Neutral
"I am a massive advocate of, if the employer doesn't treat you right... LEAVE!
A high turnover of staff will hit them hard.

They have to pay more to attract more staff, the new staff they have are slower and less competent, this means hiring more staff for the same output.
It also means they will get to a point where they struggle to fill jobs...

All this will hit them harder than unions.


I also think it's abhorrent that they can use tax ""loopholes"" despite being so large an employer and having so many customers.
These loopholes need closing... you do X amount of business in the UK, you should be UK registered and all transactions in GBP.


Don't get me started on allowing children to buy dangerous products because they can simply ask a smart speaker and have it put through the door 🤬",Negative
"I am going to return a 12KG kettlebell to Amazon tomorrow, via Evri/Hermes, that was damaged when I received it, so the returns info was interesting, particularly the fact that they just weigh the item. Also, I work for a charity that is sent Amazon returns on palettes to sell in our shops. I have personally bought some perfectly good items from those deliveries, like a full set of stainless steel saucepans worth around £100, for which I paid £10. I get the impression they never resell any returns, so we have to inspect the items we receive to work out if they are faulty/damaged or just unwanted and suitable for us to sell.",Positive
"Several years ago, I was asked to sign a petition about the way Amazon treated its workers. I decided instead of signing that petition, I would NEVER DO BUSINESS WITH AMAZON AGAIN.",Neutral
"I did six years in factories and during COVID had to go back in and took a job with Amazon.  It was the best factory job I've ever had.  Management were decent, walking around handing out bottles of water etc, free food vans twice a week, t-shirts etc etc.  They didn't mess anyone around on hours awarded, and they got rid of the slackers right away. 

I worked there for six weeks and earned £6,000.  If I'd have been 19 I'd have stayed.

EDIT: The managers also let us have headphones on the sly, and played music in the factory.  They were sound.  I'm not sure if it's because they were mostly African/Polish because my experience with British in these sorts of roles is that they like to bully employees with nonsensical rules...",Positive
"29:46 Damn you, you just added ""uhhh lemonade"" to my shopping list (yes, that's exactly what it listed). I only have a small flat but I have THREE different Echo devices (Echo Input, Echo Studio and Echo Show 8) and each uses a different wake word, cos they are within earshot of each other (""Alexa"", ""Computer"" and ""Echo"").

I buy SOOOO much stuff from Amazon. Everything from my 4K TV to dental floss. In fact, recently I think I've been ordering something on most days, both for home and work. It's so addictive that you can shop late and night, and even on your phone when you are out, and get most things delivered for free the next day. I have recently bought two different very sharp kitchen knives and I did have to give my year of birth, which they had to enter on their handset, but only for one did they ask to actually see my ID (I am 58 though).

Also, I have worked as a delivery driver in before (but not for Amazon), and pissing in bottles is a pretty common thing. I actually bought one of those bottles for camping with a wide top (bought from Amazon, of course) and would empty it out at the side of the road. It's one of the reasons you don't get many women drivers, although you can now get bottles that are especially designed for women.

My sister and her husband have refused to use Amazon for a few years now, and I guess this kind of stuff is the reason why.",Positive
I love this guy,Positive
"If after this you still buy from Amazon, then you are an accomplice to what they are doing, that's a strong deterrent for me against giving them any more of my money.",Positive
"10/10 documentary, look forward to more from Oobah",Neutral
"Weird looking lad, is he Alexander Boris de Johnson Pfeffel 's son?",Negative
"Went to my son’s house this morning , he is a stroke survivor and not able to get to a door .   When I arrived it was pouring with rain and Amazon deliverer had left a parcel outside his door on the ground , it was soaked.",Positive
"So Amazon's defense is ""look at how bad other companies are. See, we're not that bad""",Negative
Ok so the drivers wee in plastic bottles but what if they need a poo?   What happens then?  This is a serious question btw.   Absolutely inhumane how Amazon threat employees.,Negative
"god you got that dude with bottles fired. you show box numbers on van, amazon can trace matching numbers to find car and person. blur everything next time. and better dont work for that slave camp",Positive
"I currently still work for Amazon as a driver for a DSP. 2 Years and it’s gone down hill massively. The piss bottles are very real and like 90% of drivers do it because we either don’t get enough time or there are no nearby toilets and bushes. Bonuses are practically a myth, routes are diabolical but if you change the routing to actually fix it they immediately blame you for changing the routing and won’t look into any issues with it. After the first Christmas I worked they wanted to drop our daily pay from around £130 to £99.90, they only changed it to £117 because every single driver went ballistic",Negative
I will help to pay for your legal fees Oobah.,Positive
Well if workers are willing to tolerate this it will simply continue.,Positive
"I worked at Amazon around 10 years ago. I had an injury at work caused by a leak in the roof. I slipped on a wet floor and was off work with a sprained ankle for a few weeks. When I went back, I had a doctor's note that said I should not walk around much. They put me on picking straight away and I was sacked for not meeting my hourly targets despite being injured. 
I tried to sue for the injury but you couldn't get a camera into the warehouse to prove the leak was there, so I couldn't proceed with the case. 
Worst company I've ever worked for.",Negative
